Timestamp,Temperature,Humidity
11/21/2013 11:48:18,39,17.8
11/21/2013 11:49:17,39,20.9
11/21/2013 11:50:17,39.1,17.4
11/21/2013 11:50:39,39,16.8
11/21/2013 11:51:41,39.1,17.8
11/21/2013 11:52:44,39.1,18.4
11/21/2013 11:53:47,39.1,17.3
11/21/2013 11:54:49,39.1,17.6
11/21/2013 11:55:52,39.1,16.5
11/21/2013 11:56:55,39,16.7
11/21/2013 11:57:57,39,17.1
11/21/2013 11:59:00,39,16.8
11/21/2013 12:00:02,38.9,16.8
11/21/2013 12:01:05,38.9,16.8
11/21/2013 12:02:08,38.9,16.6
11/21/2013 12:03:10,38.9,15.9
11/21/2013 12:04:13,38.9,16.2
11/21/2013 12:05:16,38.9,16.5
11/21/2013 12:06:19,39,16.5
11/21/2013 12:07:22,38.9,16.3
11/21/2013 12:08:24,38.8,15.9
11/21/2013 12:09:27,38.8,16.8
11/21/2013 12:10:30,38.7,15.4
11/21/2013 12:11:33,38.7,17
11/21/2013 12:12:36,38.6,16
11/21/2013 12:13:39,38.5,16.7
11/21/2013 12:14:42,38.3,17
11/21/2013 12:15:44,38.2,17.2
11/21/2013 12:16:47,38.1,15.6
11/21/2013 12:17:50,38.2,16.7
11/21/2013 12:18:52,38.2,16.3
11/21/2013 12:19:55,38.3,15.4
11/21/2013 12:20:58,38.3,15.2
11/21/2013 12:22:00,38.3,15.7
11/21/2013 12:23:03,38.3,16.9
11/21/2013 12:24:06,38.3,16
11/21/2013 12:25:08,38.4,15.4
11/21/2013 12:26:11,38.5,16.5
11/21/2013 12:27:15,38.4,16.1
11/21/2013 12:28:17,38.4,15
11/21/2013 12:29:20,38.4,14.7
11/21/2013 12:30:23,38.3,14.8
11/21/2013 12:31:26,38.3,14
11/21/2013 12:32:28,38.2,15.5
11/21/2013 12:33:32,38.3,15.2
11/21/2013 12:34:35,38.4,15.1
11/21/2013 12:35:37,38.4,14
11/21/2013 12:36:40,38.4,15.1
11/21/2013 12:37:42,38.4,14.6
11/21/2013 12:38:45,38.4,15.5
11/21/2013 12:39:48,38.4,15.2
11/21/2013 12:40:50,38.4,14.9
11/21/2013 12:41:53,38.3,14.8
11/21/2013 12:42:55,38.3,15
11/21/2013 12:43:58,38.2,14.6
11/21/2013 12:45:00,38.1,15.3
11/21/2013 12:46:03,38.1,15.5
11/21/2013 12:47:05,38.1,16.2
11/21/2013 12:48:08,38.3,15.2
11/21/2013 12:49:11,38.2,15
11/21/2013 12:50:13,38.3,15.5
11/21/2013 12:51:16,38.4,16.1
11/21/2013 12:52:18,38.4,15.6
11/21/2013 12:53:21,38.4,16.1
11/21/2013 12:54:24,38.4,15.3
11/21/2013 12:55:27,38.5,15.3
11/21/2013 12:56:29,38.5,15.5
11/21/2013 12:57:32,38.5,14.9
11/21/2013 12:58:34,38.6,15.1
11/21/2013 12:59:38,38.6,15.7
11/21/2013 13:00:41,38.6,15.5
11/21/2013 13:01:43,38.5,15.7
11/21/2013 13:02:46,38.4,15.1
11/21/2013 13:03:49,38.4,14.7
11/21/2013 13:04:51,38.3,15.4
11/21/2013 13:05:54,38.4,15.8
11/21/2013 13:06:57,38.4,15.1
11/21/2013 13:07:59,38.4,15.1
11/21/2013 13:09:02,38.4,15
11/21/2013 13:10:04,38.3,14.1
11/21/2013 13:11:07,38.3,15.2
11/21/2013 13:12:10,38.3,15.4
11/21/2013 13:13:12,38.3,14.8
11/21/2013 13:14:15,38.2,15.3
11/21/2013 13:15:17,38.2,14.3
11/21/2013 13:16:20,38.2,15
11/21/2013 13:17:23,38.3,15.6
11/21/2013 13:18:25,38.3,15.5
11/21/2013 13:19:28,38.3,15.1
11/21/2013 13:20:31,38.3,16.1
11/21/2013 13:21:34,38.3,15.5
11/21/2013 13:22:37,38.2,15.1
11/21/2013 13:23:40,38.2,15.8
11/21/2013 13:24:42,38,15.1
11/21/2013 13:25:45,38,15.5
11/21/2013 13:26:48,38,15.7
11/21/2013 13:27:50,38,16.4
11/21/2013 13:28:53,37.9,16
11/21/2013 13:29:56,37.9,15.5
11/21/2013 13:30:59,37.8,15.4
11/21/2013 13:32:01,37.8,15.8
11/21/2013 13:33:04,37.8,15.1
11/21/2013 13:34:07,37.8,14.5
11/21/2013 13:35:09,37.6,15.3
11/21/2013 13:36:12,37.5,15.5
11/21/2013 13:37:15,37.6,16
11/21/2013 13:38:17,37.6,15.6
11/21/2013 13:39:20,37.6,15.2
11/21/2013 13:40:23,37.5,14
11/21/2013 13:41:26,37.4,15.3
11/21/2013 13:42:28,37.4,15.4
11/21/2013 13:43:31,37.3,15.6
11/21/2013 13:44:33,37.5,15.4
11/21/2013 13:45:36,37.5,15
11/21/2013 13:46:39,37.4,15.6
11/21/2013 13:47:42,37.5,15.1
11/21/2013 13:48:44,37.5,16
11/21/2013 13:49:47,37.6,16.3
11/21/2013 13:50:50,37.5,15.6
11/21/2013 13:51:53,37.3,16.2
11/21/2013 13:53:11,37.1,15.8
11/21/2013 13:54:17,36.7,15.2
11/21/2013 13:55:20,36.7,15.9
11/21/2013 13:56:23,36.5,15.8
11/21/2013 13:57:25,36.3,16.2
11/21/2013 13:58:28,36,16.7
11/21/2013 13:59:31,35.7,16.6
11/21/2013 14:00:34,35.6,17.4
11/21/2013 14:01:36,35.4,17.5
11/21/2013 14:02:39,35,17
11/21/2013 14:03:42,34.7,17.1
11/21/2013 14:04:45,34.3,17.7
11/21/2013 14:05:48,34,18.6
11/21/2013 14:06:50,33.7,17.7
11/21/2013 14:07:53,33.3,16
11/21/2013 14:08:56,33.1,18.4
11/21/2013 14:09:59,32.9,17.9
11/21/2013 14:11:02,32.7,18.1
11/21/2013 14:12:05,32.5,17.7
11/21/2013 14:13:08,32.3,18.6
11/21/2013 14:14:11,32.1,18.2
11/21/2013 14:15:15,32,17.5
11/21/2013 14:16:18,31.9,16.7
11/21/2013 14:17:20,31.8,17.5
11/21/2013 14:18:23,31.7,18.2
11/21/2013 14:19:26,31.7,18.3
11/21/2013 14:20:29,31.6,18.6
11/21/2013 14:21:31,31.5,18.2
11/21/2013 14:22:34,31.9,18.1
11/21/2013 14:23:37,32.4,19.3
11/21/2013 14:24:40,33,18.7
11/21/2013 14:25:42,33.5,17.4
11/21/2013 14:26:45,34,18.3
11/21/2013 14:27:48,34.4,18.3
11/21/2013 14:28:51,34.7,18.6
11/21/2013 14:29:53,34.9,18.1
11/21/2013 14:30:57,35,17.1
11/21/2013 14:31:59,35.3,18.2
11/21/2013 14:33:02,35.4,18.5
11/21/2013 14:34:05,35.6,18.3
11/21/2013 14:35:08,35.6,16.8
11/21/2013 14:36:11,35.6,17.6
11/21/2013 14:37:15,35.7,17.4
11/21/2013 14:38:18,35.6,17.9
11/21/2013 14:39:20,35.5,17.2
11/21/2013 14:40:23,35.4,19.4
11/21/2013 14:41:26,35.4,19.7
11/21/2013 14:42:29,35.2,19.4
11/21/2013 14:43:32,35.1,19.1
11/21/2013 14:44:34,34.9,18.4
11/21/2013 14:45:38,34.9,17.4
11/21/2013 14:46:41,34.9,19.7
11/21/2013 14:47:44,35.1,20.8
11/21/2013 14:48:47,35,19.1
11/21/2013 14:49:49,34.9,17.8
11/21/2013 14:50:52,35,19.1
11/21/2013 14:51:55,34.9,18.4
11/21/2013 14:52:57,34.8,17.9
11/21/2013 14:54:00,34.5,17.8
11/21/2013 14:55:02,34.3,19.9
11/21/2013 14:56:06,33.9,17.7
11/21/2013 14:57:08,33.6,17.6
11/21/2013 14:58:11,33.5,18.2
11/21/2013 14:59:15,33.7,21.1
11/21/2013 15:00:18,33.9,19.5
